OID_,OBJECTID,DISTRICT,RepMaj,Shape_Length,Shape_Area
1,1,1,-18886,1494274.341374988900498,33299839403.932899475097656
2,2,2,-26922,1645849.832827675621957,36661284057.914932250976562
3,3,3,76471,234006.166901459335350,1262596106.389859437942505
4,4,4,-21758,1354216.305178862996399,16357277123.650733947753906
5,5,5,24378,1235086.470417999895290,19229876246.996280670166016
6,6,6,54889,600251.807069782400504,10219135856.880373001098633
7,7,7,85121,129440.019410851615248,500382699.176777839660645
8,8,8,130224,379772.902883560338523,3076461218.239801883697510
9,9,9,-21493,680239.947423893492669,7800689222.149305343627930
10,10,10,-93232,193411.372187060129363,1430641340.286080121994019
11,11,11,1016,1016636.834363486035727,23403677579.965065002441406
12,12,12,110485,290431.415455750480760,3516944498.576612472534180
13,13,13,88183,1880297.473143566632643,102629811632.539688110351562
14,14,14,52096,1543544.727948387153447,41493795780.849769592285156
15,15,15,-66311,1331234.903745619114488,16659939637.225770950317383
16,16,16,-72383,266357.209512361849193,1502090346.707552194595337
17,17,17,-6656,1719009.525629166048020,87308651349.943145751953125
18,18,18,-71181,226002.897421162197134,480413214.133503377437592
19,19,19,105504,1559909.271748333936557,45250931125.326400756835938
20,20,20,-68685,265017.065068653027993,785221520.463874936103821
21,21,21,104938,1066568.672745170071721,28603797412.795917510986328
22,22,22,44783,627333.163467639707960,4405169638.991070747375488
23,23,23,9633,3310199.821829331573099,143319618551.225524902343750
24,24,24,-34670,228315.451658631791361,674640545.986761093139648
25,25,25,-13549,326872.508114210853819,722425416.828208088874817
26,26,26,85710,315365.182610532443505,2963267051.307689666748047
27,27,27,-27555,864101.718497989349999,14344933792.040300369262695
28,28,28,-44462,1445973.102307188091800,30876233775.469230651855469
29,29,29,-52927,244806.258068988187006,618988598.810970544815063
30,30,30,-59999,211187.685684590775054,749449149.991664290428162
31,31,31,67373,1054187.931300174677745,13130551674.806737899780273
32,32,32,55340,126717.491558360416093,428745299.472138643264771
