recno,crimetype,xL,yL,year,month,count,codemonth,crimet,district,Neighborho
45419,homicide,-90.29042685,38.64133442,2013,9,1,2013-09,10000,2,82
45417,homicide,-90.29042685,38.64133442,2013,9,1,2013-09,10000,2,82
5825,homicide,-90.28758687,38.65941663,2014,7,1,2014-07,10000,5,48
5826,homicide,-90.28758687,38.65941663,2014,7,1,2014-07,10000,5,48
8592,homicide,-90.2837468,38.67713166,2014,7,1,2014-07,10000,5,50
28690,homicide,-90.28335815,38.67091422,2014,2,1,2014-02,10000,5,78
21839,homicide,-90.28324232,38.67854486,2014,3,1,2014-03,10000,5,50
35408,homicide,-90.28187155,38.67763617,2013,11,1,2013-11,10000,7,50
15617,homicide,-90.28158509,38.6532822,2014,5,1,2014-05,10000,5,47
40035,homicide,-90.27989273,38.66700033,2013,10,1,2013-10,10000,7,78
40923,homicide,-90.27972075,38.67260439,2013,10,1,2013-10,10000,7,50
33914,homicide,-90.27806854,38.67929028,2013,12,1,2013-12,10000,7,50
2011,homicide,-90.27669632,38.6810066,2014,8,1,2014-08,10000,5,50
40426,homicide,-90.27379254,38.68035299,2013,10,1,2013-10,10000,7,50
20021,homicide,-90.27362031,38.67230717,2014,4,1,2014-04,10000,5,50
19634,homicide,-90.27355502,38.67757917,2014,4,1,2014-04,10000,5,50
17609,homicide,-90.27108216,38.67222809,2014,4,1,2014-04,10000,5,50
17610,homicide,-90.27108216,38.67222809,2014,4,1,2014-04,10000,5,50
32592,homicide,-90.27105214,38.66625844,2013,12,1,2013-12,10000,7,78
13723,homicide,-90.27032637,38.67472263,2014,5,1,2014-05,10000,5,50
40721,homicide,-90.26968155,38.66344668,2013,10,1,2013-10,10000,7,51
40717,homicide,-90.26968155,38.66344668,2013,10,1,2013-10,10000,7,51
15679,homicide,-90.26988865,38.58290363,2014,5,1,2014-05,10000,1,5
34319,homicide,-90.26890909,38.5563739,2013,12,1,2013-12,10000,1,4
30446,homicide,-90.26850391,38.55044458,2014,2,1,2014-02,10000,1,1
38144,homicide,-90.26748266,38.66945587,2013,11,1,2013-11,10000,7,50
30257,homicide,-90.26667609,38.66792204,2014,2,1,2014-02,10000,5,50
48201,homicide,-90.26623983,38.69813702,2013,8,1,2013-08,10000,6,70
51502,homicide,-90.26482479,38.67570297,2013,8,1,2013-08,10000,7,52
51078,homicide,-90.26392711,38.68164603,2013,8,1,2013-08,10000,6,70
2002,homicide,-90.26354874,38.65971924,2014,8,1,2014-08,10000,5,51
36942,homicide,-90.26232895,38.67487141,2013,11,1,2013-11,10000,7,50
34502,homicide,-90.26185204,38.66837089,2013,12,1,2013-12,10000,7,52
38823,homicide,-90.26211399,38.5507363,2013,10,1,2013-10,10000,1,2
1999,homicide,-90.26155013,38.66235125,2014,8,1,2014-08,10000,5,53
41484,homicide,-90.26153469,38.65697199,2013,10,1,2013-10,10000,8,53
10254,homicide,-90.26093503,38.58214977,2014,6,1,2014-06,10000,1,5
10253,homicide,-90.26093503,38.58214977,2014,6,1,2014-06,10000,1,5
22539,homicide,-90.25978709,38.66330047,2014,3,1,2014-03,10000,5,55
7815,homicide,-90.26015188,38.55244193,2014,7,1,2014-07,10000,1,2
9116,homicide,-90.25957353,38.6702966,2014,6,1,2014-06,10000,5,52
24529,homicide,-90.25864214,38.66540697,2014,3,1,2014-03,10000,5,55
11840,homicide,-90.25637374,38.70216706,2014,6,1,2014-06,10000,6,76
4891,homicide,-90.25592245,38.65914615,2014,7,1,2014-07,10000,5,54
9617,homicide,-90.25547077,38.56292563,2014,6,1,2014-06,10000,1,1
18236,homicide,-90.25444766,38.6655273,2014,4,1,2014-04,10000,5,55
41949,homicide,-90.25422317,38.71518629,2013,10,1,2013-10,10000,6,73
45975,homicide,-90.25415279,38.66162475,2013,9,1,2013-09,10000,8,55
18817,homicide,-90.25372223,38.55908834,2014,4,1,2014-04,10000,1,1
13787,homicide,-90.25317234,38.64841486,2014,5,1,2014-05,10000,5,38
42299,homicide,-90.25264259,38.64901784,2013,10,1,2013-10,10000,9,38
7670,homicide,-90.25219339,38.71046184,2014,7,1,2014-07,10000,6,73
35706,homicide,-90.25207578,38.66483856,2013,11,1,2013-11,10000,8,55
14671,homicide,-90.25202715,38.65375324,2014,5,1,2014-05,10000,5,54
5192,homicide,-90.25159599,38.66462611,2014,7,1,2014-07,10000,5,55
37013,homicide,-90.25137244,38.55574787,2013,11,1,2013-11,10000,1,1
39101,homicide,-90.24978657,38.71857353,2013,10,1,2013-10,10000,6,73
39102,homicide,-90.24978657,38.71857353,2013,10,1,2013-10,10000,6,73
8408,homicide,-90.24956251,38.55953727,2014,7,1,2014-07,10000,1,1
21767,homicide,-90.24814233,38.69251979,2014,3,1,2014-03,10000,6,71
50026,homicide,-90.24798603,38.57303875,2013,8,1,2013-08,10000,1,16
45260,homicide,-90.24709763,38.71607175,2013,9,1,2013-09,10000,6,73
41796,homicide,-90.24659939,38.66060637,2013,10,1,2013-10,10000,8,56
