recno,neighbour,crime,count,month,crimetype,xL,yL
1,0,211000,1,2,dui,-90.32630928,38.59526433
2,1,10000,5,2,homicide,-90.25572637,38.55754874
3,1,81000,2,9,arson,-90.24868841,38.56387316
4,1,81100,1,3,arson,-90.25150772,38.56784902
5,1,82000,1,5,arson,-90.25724244,38.55806734
6,1,83000,1,8,arson,-90.25639185,38.56254971
7,1,211000,4,10,dui,-90.25652979,38.5579213
8,2,10000,2,10,homicide,-90.26113293,38.55158911
9,2,81000,1,4,arson,-90.25851299,38.54927659
10,2,82000,3,11,arson,-90.26186601,38.5460964
11,2,83000,3,7,arson,-90.26340602,38.54703296
12,2,211000,2,2,dui,-90.28696493,38.56217281
13,3,82000,1,6,arson,-90.25697037,38.57229272
14,3,83000,1,8,arson,-90.2604411,38.57129129
15,4,10000,1,12,homicide,-90.26890909,38.5563739
16,4,81000,1,4,arson,-90.28853676,38.56208167
17,4,211000,3,4,dui,-90.27461329,38.5672589
18,5,10000,3,5,homicide,-90.26391957,38.58240106
19,5,81000,1,9,arson,-90.27510803,38.57386506
20,5,82000,1,10,arson,-90.26764213,38.5793907
21,5,83000,2,8,arson,-90.26997196,38.58088517
22,5,211000,11,8,dui,-90.26420725,38.58370743
23,5,212000,1,5,dui,-90.26595109,38.58446376
24,6,211000,2,9,dui,-90.28931791,38.57546585
25,7,211000,2,8,dui,-90.28865041,38.58889349
26,8,211000,2,10,dui,-90.30281009,38.58585646
27,9,211000,7,4,dui,-90.30113756,38.60022758
28,10,82000,1,5,arson,-90.30684121,38.61285723
29,10,83000,1,6,arson,-90.31153023,38.61527032
30,10,211000,3,11,dui,-90.3033961,38.61765834
31,11,211000,4,5,dui,-90.29359892,38.61470241
32,12,211000,4,6,dui,-90.28445718,38.61754592
33,13,81000,1,12,arson,-90.28539864,38.61026341
34,13,82000,1,6,arson,-90.27596691,38.61007
35,13,211000,9,8,dui,-90.27312872,38.60622553
36,14,211000,4,2,dui,-90.27976262,38.59485281
37,14,212000,2,2,dui,-90.28404633,38.5952886
38,15,10000,1,3,homicide,-90.24532215,38.59094229
39,15,81000,1,3,arson,-90.26896923,38.59580225
40,15,83000,2,11,arson,-90.25245617,38.59412092
41,15,211000,5,9,dui,-90.26210187,38.59502609
42,16,10000,3,8,homicide,-90.2405672,38.58164482
43,16,81000,3,8,arson,-90.24081224,38.57636439
44,16,82000,3,9,arson,-90.24357937,38.57393752
45,16,83000,13,4,arson,-90.24384917,38.58309821
46,16,211000,3,2,dui,-90.24480461,38.5804018
47,17,10000,2,8,homicide,-90.23559704,38.57661997
48,17,83000,2,8,arson,-90.2342535,38.57875742
49,17,212000,1,8,dui,-90.23758176,38.57588649
50,18,10000,1,8,homicide,-90.22075672,38.58807991
51,18,83000,3,9,arson,-90.22375773,38.58734014
52,18,211000,2,8,dui,-90.21835906,38.59172626
53,19,10000,4,3,homicide,-90.2329911,38.59142279
54,19,81000,1,2,arson,-90.22974946,38.59378511
55,19,82000,1,8,arson,-90.23314563,38.58844931
56,19,83000,3,8,arson,-90.23559938,38.59190835
57,19,211000,1,6,dui,-90.24354403,38.59272876
58,20,83000,2,2,arson,-90.19925011,38.60669759
59,20,211000,5,2,dui,-90.20314619,38.60532318
60,20,212000,1,6,dui,-90.19690895,38.61377468
61,21,10000,1,12,homicide,-90.20745666,38.60423745
62,21,83000,3,7,arson,-90.2132972,38.59726076
63,21,211000,20,5,dui,-90.20672847,38.60732655
64,22,82000,2,8,arson,-90.22128691,38.59862832
65,22,83000,2,11,arson,-90.2231241,38.59892099
66,22,211000,4,3,dui,-90.21711008,38.59851393
67,23,211000,2,7,dui,-90.22023808,38.60655057
68,24,10000,2,10,homicide,-90.22676075,38.6081243
69,24,83000,1,2,arson,-90.22907823,38.605646
70,25,10000,2,8,homicide,-90.23790602,38.59985706
71,25,83000,3,12,arson,-90.23861914,38.59928065
72,25,211000,1,6,dui,-90.24232594,38.60099135
73,27,81000,1,3,arson,-90.25284518,38.61469976
74,27,211000,1,4,dui,-90.2534955,38.61530249
75,29,83000,2,3,arson,-90.24411893,38.62139205
76,29,211000,1,9,dui,-90.2367371,38.62604924
77,30,82000,1,11,arson,-90.23745638,38.59351159
78,30,83000,1,8,arson,-90.23795168,38.59354839
79,30,211000,2,8,dui,-90.22829597,38.602176
80,32,83000,1,6,arson,-90.21875188,38.62164686
81,33,83000,2,11,arson,-90.20606011,38.61593298
82,34,211000,3,3,dui,-90.19555987,38.61748454
83,35,10000,2,8,homicide,-90.18520625,38.63071905
84,35,81000,1,12,arson,-90.19849514,38.62563292
85,35,83000,1,9,arson,-90.19713916,38.59947447
86,35,211000,6,8,dui,-90.19234868,38.62617745
87,35,212000,1,6,dui,-90.18412604,38.6328662
88,36,10000,1,5,homicide,-90.19893237,38.63014559
89,36,81000,1,11,arson,-90.20158377,38.6308169
90,36,211000,1,3,dui,-90.21240637,38.63127511
91,37,211000,7,4,dui,-90.2312504,38.63312589
92,38,10000,3,5,homicide,-90.24928485,38.64744084
93,38,81000,1,2,arson,-90.25480224,38.63815955
94,38,83000,3,9,arson,-90.25241761,38.64441898
95,38,211000,5,8,dui,-90.26148741,38.64270842
96,39,211000,5,7,dui,-90.26178948,38.62774768
97,41,211000,3,11,dui,-90.28627388,38.63051989
98,42,211000,1,3,dui,-90.29412247,38.6220756
99,42,212000,1,5,dui,-90.29295998,38.62854844
100,43,211000,1,9,dui,-90.31089685,38.61616447
101,44,211000,2,11,dui,-90.30273494,38.62978582
102,46,83000,1,8,arson,-90.29319889,38.65407216
103,47,10000,1,5,homicide,-90.28158509,38.6532822
104,48,10000,2,7,homicide,-90.28758687,38.65941663
105,48,82000,2,8,arson,-90.28712488,38.66229621
106,48,83000,2,4,arson,-90.2926577,38.66200412
107,48,211000,1,10,dui,-90.28395628,38.65428337
